Archetype,Recency,Frequency,Average_Order_Value,Average_Session_Duration,Cart_Abandonment_Rate,Product_Views_per_Session,Last_Used_Platform,Total_Spend_Last_Year,Customer_Support_Interactions_Score
At-Risk,266,1,43.29,4862,0.4691,4,Mobile App,38,2.45
Window Shoppers,76,0,0,35106,0.9053,26,Mobile App,0,
Window Shoppers,78,0,0,38833,0.9159,28,Web,0,6.78
At-Risk,284,2,45.69,4577,0.5678,0,Mobile App,87.2,6.9
Loyal Low-Spenders,17,13,31.22,8986,0.0945,5,Mobile App,460.63,6.75
Loyal Low-Spenders,18,15,29.33,9525,0.0055,4,Web,379.05,3.18
At-Risk,276,1,49.01,5233,0.449,1,Mobile App,49.41,4.94
Champions,6,19,225.64,5447,0.0044,7,Tablet,4014.01,
Potential High-Value,52,1,322.11,21243,0.2937,15,Web,371.48,6.03
Loyal Low-Spenders,24,20,39.04,10128,0.0046,7,Mobile App,794.79,0.41
Window Shoppers,84,0,0,36159,0.9029,24,Mobile App,0,4.62
Window Shoppers,37,0,0,39630,0.9803,24,Web,0,5.4
Potential High-Value,58,2,301.04,20902,0.3384,14,Web,504.06,2.32
Loyal Low-Spenders,21,15,34.95,7571,0.0326,6,Mobile App,540.06,5.91
At-Risk,279,2,44.96,3753,0.5148,2,Mobile App,104.9,5.68
Window Shoppers,57,0,0,34721,0.9696,23,Mobile App,0,1.51
Window Shoppers,85,0,0,37513,0.948,21,Web,0,8.74
Window Shoppers,80,0,0,35729,0.982,21,Web,0,5.71
Window Shoppers,115,0,0,33650,0.9215,30,Web,0,4.33
Window Shoppers,88,0,0,33652,0.957,22,Mobile App,0,4.61
Window Shoppers,93,0,0,36691,0.97,17,Mobile App,0,7.3
Loyal Low-Spenders,23,16,27.49,11223,0.0285,4,Tablet,417.24,4.41
Potential High-Value,68,2,319.36,21317,0.2661,20,Mobile App,596.25,9.47
At-Risk,297,0,46.74,3946,0.4975,2,Web,0,3.33
Window Shoppers,66,0,0,34105,0.9031,15,Web,0,4.34
Potential High-Value,56,2,337.81,24521,0.3134,17,Web,590.86,4.71
Loyal Low-Spenders,25,16,25.02,,0.0242,3,Mobile App,372.48,2.03
Potential High-Value,55,3,313.13,20069,0.3478,17,Web,1070.59,3.64
Loyal Low-Spenders,24,12,27.56,8660,0.0287,2,Web,287.94,8.42
Potential High-Value,68,1,280.77,21740,0.2294,15,Mobile App,275.84,7
At-Risk,288,0,47.43,3218,0.5784,4,Tablet,0,5.06
Loyal Low-Spenders,23,20,33.44,10407,0.034,5,Web,632.32,4.3
Loyal Low-Spenders,21,15,29.44,12060,0.0182,4,Web,422.24,4.88
Potential High-Value,59,6,296.88,24787,0.399,15,Web,2041.41,4.93
At-Risk,282,0,38.16,5241,0.6123,1,Web,0,3.01
At-Risk,280,3,42.81,3301,0.5435,0,Web,141.68,4.54
Window Shoppers,78,0,0,34331,0.9697,21,Web,0,5.24
Window Shoppers,69,0,0,36157,0.9055,25,Web,0,2.78
Champions,10,33,213.34,5003,0.0048,2,Mobile App,5504.05,7.31
At-Risk,272,4,43.81,4669,0.4927,1,Tablet,195.41,6.08
Loyal Low-Spenders,21,13,29.84,8554,0.0148,4,Mobile App,378.11,7.01
Window Shoppers,48,0,0,35865,0.9465,15,Mobile App,0,2.91
Window Shoppers,68,0,0,35923,0.9683,35,Web,0,6.46
Champions,9,28,224.82,6790,0.0046,5,Mobile App,5305.18,6.46
Potential High-Value,57,1,313.08,20737,0.3109,20,Web,372.62,4.03
Champions,5,22,207.29,6755,0.0004,4,Mobile App,4675.56,5.68
Loyal Low-Spenders,24,9,30.51,8018,0.0169,2,Web,251.68,0.64
At-Risk,313,0,43.81,3016,0.4294,2,Web,0,4.63
Potential High-Value,68,1,273.94,23572,0.2746,18,Mobile App,291.23,4.33
Potential High-Value,58,1,265.38,23876,0.1835,29,Tablet,244.82,2.83
At-Risk,252,1,49.4,3670,0.4256,0,Web,49.81,6.59
Potential High-Value,81,1,298.16,23609,0.1474,16,Web,333.28,
Loyal Low-Spenders,20,12,31.02,8860,0.0995,5,Web,364.92,4.59
At-Risk,312,1,62.16,4570,0.5882,1,Mobile App,67.33,4.9
Loyal Low-Spenders,25,20,28.11,8254,0.008,3,Mobile App,582.44,3.86
Loyal Low-Spenders,17,13,28.27,8482,0.0079,5,Web,295.18,8.47
Potential High-Value,52,1,298.34,23523,0.3637,11,Mobile App,289.88,1.22
Loyal Low-Spenders,21,17,29.71,10587,0.0763,2,Web,684.63,2.23
Window Shoppers,102,0,0,32841,0.9392,20,Web,0,4.56
At-Risk,282,0,49.84,5138,0.6513,0,Mobile App,0,4.65
At-Risk,265,3,48.6,3054,,2,Mobile App,142.38,2.49
At-Risk,275,0,64.82,3372,0.4547,4,Mobile App,0,7.13
Champions,8,26,232.54,7375,0,1,Mobile App,5968.58,5.82
Loyal Low-Spenders,23,18,21.95,11341,0.0087,2,Web,360.68,3.57
Window Shoppers,80,0,0,38944,0.9542,20,Mobile App,0,3.6
Champions,8,21,194.35,7558,0.001,3,Web,3832.88,2.48
Loyal Low-Spenders,22,15,30.19,8678,0.02,2,Web,455.9,3.9
Window Shoppers,100,0,0,34705,0.9803,33,Mobile App,0,8.83
Window Shoppers,56,0,0,32766,0.9044,30,Mobile App,0,4.54
At-Risk,260,3,51.02,4538,0.5325,0,Mobile App,134.55,7.58
Window Shoppers,71,0,0,39056,0.9735,25,Mobile App,0,5.54
At-Risk,294,0,50.21,3918,0.5129,2,Mobile App,0,2.77
Window Shoppers,77,0,0,29683,0.9357,27,Web,0,7.62
At-Risk,297,1,40.11,5088,0.427,2,Web,39,5.16
Window Shoppers,71,0,0,33430,0.9841,27,Web,0,6.14
Potential High-Value,66,2,285.37,24386,0.3551,9,Tablet,586.13,4.76
Potential High-Value,73,2,311.39,24297,0.2916,21,Mobile App,654.32,1.43
Window Shoppers,76,0,0,35273,0.9631,26,Mobile App,0,3.56
Loyal Low-Spenders,20,26,23.78,9297,,3,Tablet,602.46,4.19
Loyal Low-Spenders,16,13,29.55,9396,0.0449,3,Web,408.75,1.67
Champions,5,27,218.01,7712,0.0013,3,Mobile App,6231.36,4.62
Potential High-Value,65,2,313.17,22734,0.3993,17,Mobile App,671.53,7.53
Potential High-Value,62,2,318.05,24772,0.3227,14,Web,832.17,2.5
Window Shoppers,82,0,0,36809,0.9226,33,Web,0,3.57
Potential High-Value,52,1,287.93,24218,0.2427,8,Web,272.87,3.85
Potential High-Value,65,5,324.55,23695,0.335,15,Mobile App,1789.91,2.39
Window Shoppers,90,0,0,36661,0.9616,29,Web,0,3.5
Window Shoppers,55,0,0,32862,0.8724,22,Mobile App,0,3.19
Window Shoppers,71,0,0,36897,,31,Web,0,6.02
Window Shoppers,68,1,9.54,35307,0.9543,20,Mobile App,9.3,2.66
Window Shoppers,69,0,0,32807,0.9675,27,Web,0,4.06
Potential High-Value,42,2,316.11,22185,0.3068,15,Web,554.38,
Window Shoppers,78,0,0,38814,0.9549,22,Mobile App,0,7.19
Loyal Low-Spenders,22,13,28.25,9690,0.0067,4,Mobile App,385.38,2.7
Potential High-Value,61,3,305.87,25797,0.2862,21,Mobile App,1080.86,3.59
Potential High-Value,33,5,346.46,22764,0.4935,12,Web,1910.18,4.84
Potential High-Value,56,3,333.66,22116,0.2398,12,Web,985.11,10
Window Shoppers,80,0,0,36131,0.963,24,Web,0,2.72
At-Risk,243,0,49.13,4359,0.569,2,Tablet,0,2.16
Window Shoppers,73,0,0,36471,0.9493,29,Web,0,2.77
Potential High-Value,53,1,322.7,25592,0.2654,18,Tablet,334.24,4.65
Loyal Low-Spenders,22,20,29.49,12149,0.0044,3,Web,477.83,6.25
Loyal Low-Spenders,20,18,33.36,8195,0.0051,5,Web,702.52,6.28
Loyal Low-Spenders,17,15,29.19,9617,0.0021,3,Web,412.76,6.87
Champions,13,25,207.47,5907,0.0017,5,Web,4873.76,6.83
Champions,10,24,198.2,7733,0.0098,1,Web,3821.13,2.11
Window Shoppers,95,0,0,37326,0.9775,30,Web,0,9.72
Loyal Low-Spenders,24,14,31.51,10368,0.033,2,Web,468.06,2.59
Loyal Low-Spenders,23,21,33.27,6932,0.0435,6,Tablet,556.07,5.98
Potential High-Value,57,3,318.38,22566,0.3216,13,Web,1025.88,4.18
Window Shoppers,77,0,0,39862,0.8442,32,Mobile App,0,3.91
Window Shoppers,80,0,0,32703,0.9297,24,Mobile App,0,2.69
Potential High-Value,68,2,343.17,,0.3227,14,Web,688.26,2.77
Loyal Low-Spenders,25,18,30.4,9798,0.0294,2,Web,623.11,3.93
Window Shoppers,59,0,0,43158,0.8873,24,Web,0,5.34
Window Shoppers,45,0,0,39091,,27,Web,0,7.29
At-Risk,217,0,50.02,5129,0.5132,1,Web,0,7.62
Champions,8,19,214.92,7449,0.002,2,Mobile App,3991.45,2.66
Loyal Low-Spenders,22,18,24.16,7337,0.0038,4,Mobile App,480.65,4.09
Loyal Low-Spenders,18,15,28.58,8602,0.0197,1,Mobile App,439.85,5.26
Champions,8,31,194.07,6273,0.0232,5,Web,6176.32,3.81
At-Risk,294,1,50.41,5696,0.5414,2,Web,51.24,5.68
At-Risk,252,0,39.85,,0.5377,5,Mobile App,0,5.44
At-Risk,262,2,46.56,3574,0.4843,0,Tablet,92.85,4.49
Loyal Low-Spenders,17,24,27.74,8832,0.0464,6,Mobile App,606.64,5.83
Window Shoppers,80,0,0,36600,0.9586,24,Mobile App,0,5.19
Window Shoppers,68,0,0,36346,0.9401,21,Web,0,7.61
At-Risk,272,1,64.47,3198,0.443,2,Web,59.12,0
Potential High-Value,58,1,308.76,20281,0.3469,19,Web,302.57,2.06
Window Shoppers,50,0,0,35385,0.9399,25,Web,0,5.55
Loyal Low-Spenders,18,19,28.52,11701,0.0015,4,Mobile App,581.32,7.2
Loyal Low-Spenders,26,15,34.11,9255,0.0012,3,Web,492.15,5.19
Loyal Low-Spenders,22,19,27.56,10095,0.0062,3,Web,534.23,9.22
Window Shoppers,71,1,9.82,37226,0.8672,18,Mobile App,10.85,6.37
Champions,6,29,207.67,7980,0.0379,3,Web,5836.2,4.06
Loyal Low-Spenders,14,14,25.68,9477,0.0074,1,Web,414.21,3.69
Loyal Low-Spenders,20,19,28.8,10017,0.1242,3,Web,438.97,1.53
Window Shoppers,78,0,0,33519,0.9775,29,Mobile App,0,6.47
Potential High-Value,66,2,312.42,26558,0.2035,14,Mobile App,536.64,4.22
Loyal Low-Spenders,21,18,28.07,,,2,Web,518.77,7.09
Potential High-Value,56,3,298.57,21963,0.4785,18,Web,918.74,7.14
Window Shoppers,66,0,0,36204,0.8641,29,Mobile App,0,6.56
Window Shoppers,70,0,0,37789,0.9333,23,Tablet,0,2.09
Loyal Low-Spenders,20,16,33.31,11206,0.02,4,Mobile App,458.92,7.48
Window Shoppers,74,0,0,38070,0.9182,20,Mobile App,0,4.76
Potential High-Value,61,4,260.65,24283,0.4718,19,Web,1166.65,5.27
Loyal Low-Spenders,21,19,29.54,8661,0.0056,4,Mobile App,427.98,7.84
Window Shoppers,81,0,0,33596,0.9493,31,Mobile App,0,2.49
At-Risk,283,0,37.05,3480,0.508,2,Web,0,6.48
Window Shoppers,71,0,0,35203,0.9653,26,Web,0,2.92
Window Shoppers,66,0,0,35401,0.9747,23,Web,0,4.69
Champions,8,19,198.39,7776,0.0341,1,Web,3785.23,2.33
Loyal Low-Spenders,20,19,33.87,8211,0.0333,5,Mobile App,615.04,6.82
Champions,7,17,198.54,7739,0.0008,3,Mobile App,2536.88,4.26
Window Shoppers,90,0,0,36814,0.9372,32,Mobile App,0,7.62
At-Risk,270,0,58.01,4456,0.4786,0,Web,0,3.37
Loyal Low-Spenders,21,16,31.92,7009,0.0166,4,Web,457.7,10
Loyal Low-Spenders,27,19,27.56,8650,0.0051,4,Tablet,482.64,5.6
Loyal Low-Spenders,18,34,30.19,7589,0.0393,5,Mobile App,1082.84,3.91
Champions,9,28,198.51,,0.0321,2,Web,6353.49,3.26
Potential High-Value,52,2,270.66,23361,0.3306,22,Web,546.45,3.67
Loyal Low-Spenders,21,23,27.69,8974,0.005,7,Web,590.43,7.97
Loyal Low-Spenders,22,19,32.32,8045,0.0319,5,Web,691.87,5.5
Loyal Low-Spenders,17,15,33.61,7903,0.0416,3,Web,490.95,5.05
At-Risk,244,3,47.25,4961,0.4998,1,Mobile App,127,3.26
At-Risk,248,0,38.72,2074,0.5821,1,Web,0,5.28
Window Shoppers,81,1,7.21,34711,0.958,21,Mobile App,8.25,8.06
Window Shoppers,75,0,0,36199,0.9408,29,Mobile App,0,
Potential High-Value,54,2,285.76,18850,0.3762,14,Mobile App,508.22,3.86
Window Shoppers,95,0,0,31472,0.9464,34,Mobile App,0,5.68
At-Risk,295,1,44,4238,0.4597,2,Mobile App,37.17,0.32
Champions,9,27,190.48,8803,0.0017,1,Web,5043.27,5.78
Window Shoppers,76,0,0,34195,0.9927,26,Mobile App,0,2.47
Loyal Low-Spenders,25,17,31.09,5413,0.0633,4,Mobile App,580.87,2.36
Loyal Low-Spenders,21,12,32.06,9656,0.0188,5,Web,372.19,5.15
At-Risk,230,1,50.88,4561,0.5107,1,Web,58.08,4.79
At-Risk,251,2,49.64,4382,0.433,4,Mobile App,113.19,3.19
Champions,8,25,202.94,6917,0.0171,1,Mobile App,5540,7.49
Loyal Low-Spenders,19,18,25.54,8028,0.1107,1,Mobile App,413.62,9.41
Loyal Low-Spenders,22,17,34.29,11615,0.0952,6,Web,655.63,4.34
Potential High-Value,55,2,310.5,26229,0.3466,18,Web,733.22,3.25
At-Risk,279,1,51.02,5087,0.4701,3,Mobile App,54.75,6.58
Window Shoppers,89,0,0,32265,0.9515,20,Web,0,7.87
Champions,6,18,227.46,6274,0.0002,5,Web,3939.49,8.64
Potential High-Value,57,1,318.75,22964,0.3022,11,Web,323.51,5.94
Champions,10,31,242.11,6625,0.0124,1,Mobile App,7585.96,4.21
Window Shoppers,90,1,6.45,37396,,20,Tablet,7.22,6.11
At-Risk,277,1,50.52,4291,0.4105,1,Web,43.71,3.06
Window Shoppers,97,0,0,38034,0.9229,33,Web,0,4.15
At-Risk,283,0,61.17,,0.4766,0,Mobile App,0,5.04
Window Shoppers,84,2,10.53,36053,0.9156,24,Web,19.55,5.96
Potential High-Value,50,1,274.38,21278,0.2658,20,Mobile App,239.33,3.61
Champions,11,30,199.77,8246,0.0431,1,Tablet,5971.51,6.54
At-Risk,291,1,53.41,4716,0.5297,1,Web,47.96,3.23
Loyal Low-Spenders,12,17,36.48,7789,0.0077,2,Mobile App,607.28,2.84
Potential High-Value,53,1,269.84,18386,0.3636,6,Web,306.04,4.53
Loyal Low-Spenders,19,12,30.57,6991,0.0001,2,Web,335.95,6.03
Loyal Low-Spenders,20,21,30.46,8797,0.002,3,Tablet,684.56,4.11
Window Shoppers,88,0,0,36386,0.9602,27,Web,0,5.48
Window Shoppers,67,0,0,36280,0.9063,23,Tablet,0,2.25
Loyal Low-Spenders,23,19,27.26,8769,0.0045,1,Web,524.12,3.54
Window Shoppers,116,0,0,34107,0.9323,26,Web,0,7.19
Loyal Low-Spenders,17,14,31.13,8416,0.0078,7,Mobile App,533.12,3.76
Champions,7,24,209.19,4716,0,2,Mobile App,5569.2,4.97
Loyal Low-Spenders,19,11,28.98,8197,0.0003,4,Mobile App,369.16,4.8
Loyal Low-Spenders,20,17,29.09,8034,0.045,6,Mobile App,346.14,2.05
Loyal Low-Spenders,23,21,32.63,9533,0.0642,3,Web,654.21,5.58
Window Shoppers,86,0,0,36637,,33,Web,0,3.64
Loyal Low-Spenders,24,18,32.97,9167,0.0208,4,Web,619.82,4.13
Window Shoppers,87,0,0,31996,0.9216,26,Web,0,3.18
At-Risk,277,0,48.06,,0.5635,1,Mobile App,0,9.48
Loyal Low-Spenders,24,15,25.54,7305,0.0284,7,Web,344.31,4.62
Loyal Low-Spenders,22,20,29.73,8627,0.0422,4,Tablet,574.57,0.73
Potential High-Value,62,3,335.69,23784,0.3001,16,Mobile App,1113.17,4.76
At-Risk,283,1,61.06,3133,0.4323,1,Tablet,57.81,6.46
Window Shoppers,72,0,0,38355,0.945,20,Web,0,4.63
Champions,5,30,203.24,6430,0.0132,2,Web,5648.58,3.98
Window Shoppers,100,0,0,32434,0.9581,23,Tablet,0,5.58
At-Risk,277,1,44.77,4131,0.4305,2,Mobile App,43.31,4.85
Champions,3,24,211.57,7302,0.0124,2,Mobile App,5519.98,8.21
Loyal Low-Spenders,14,15,36.14,7944,0.0205,4,Web,506.45,5.58
At-Risk,266,0,37.78,3721,0.5622,3,Tablet,0,4.5
At-Risk,264,2,55.03,4236,0.475,2,Tablet,108.51,3.21
Window Shoppers,88,0,0,35599,0.9495,19,Mobile App,0,3.09
At-Risk,227,2,58.72,3496,0.2981,0,Web,118.12,2.43
Loyal Low-Spenders,17,18,31.44,9941,0.0149,5,Mobile App,489.39,2.62
Loyal Low-Spenders,19,12,27.69,9516,0.0381,2,Mobile App,249.64,7.53
Window Shoppers,69,0,0,37204,0.9566,24,Web,0,5.02
Window Shoppers,89,0,0,33680,0.9501,24,Mobile App,0,4.96
Potential High-Value,65,2,323.06,23045,0.3452,15,Web,570.14,8.97
Potential High-Value,59,2,347.6,18836,0.2901,22,Mobile App,583.08,5.83
Champions,10,23,206.87,6579,0.0042,7,Mobile App,5026.99,3.03
Potential High-Value,65,4,282.87,19910,0.3015,19,Tablet,1130.92,7.97
Window Shoppers,77,0,0,39252,0.9811,19,Web,0,4.3
Champions,7,29,210.08,6753,0,1,Web,5132.18,6.61
Potential High-Value,60,3,293.22,19381,0.4434,15,Web,969.62,
Window Shoppers,52,0,0,34539,0.8744,30,Tablet,0,6.5
Loyal Low-Spenders,18,20,24.84,10410,0.0009,4,Mobile App,461.74,5.26
Window Shoppers,96,0,0,,,21,Tablet,0,5.15
Potential High-Value,47,2,332.78,21631,0.261,22,Web,692.96,8.2
At-Risk,264,0,54.79,5798,0.5311,1,Web,0,6.37
At-Risk,249,1,47.39,3813,0.4669,0,Mobile App,57.57,9.15
Champions,8,30,222.36,6635,0.0001,2,Mobile App,6745.56,3.31
Window Shoppers,69,0,0,35626,0.9211,14,Web,0,8.14
At-Risk,251,0,45.96,4375,0.5602,1,Web,0,7.21
Loyal Low-Spenders,18,15,33.15,10712,0.0087,4,Web,415.59,3.78
Champions,7,26,214.26,8018,0.0015,3,Web,6574.85,8.41
Potential High-Value,61,1,307.33,21514,0.3971,21,Tablet,354.11,8.62
Champions,5,34,211.75,6196,0.0076,2,Mobile App,5888.44,3
Window Shoppers,55,1,8.6,38423,0.968,27,Web,8.84,6.06
Champions,8,37,182.6,6976,0.0031,3,Mobile App,7766.48,2.31
Champions,11,26,198.98,8592,0.0186,4,Web,4803.95,6.95
Champions,10,14,232.42,7408,0.0486,1,Web,3692.35,5.06
At-Risk,279,1,41.43,3217,,1,Mobile App,41.17,3.17
At-Risk,249,0,41.99,4802,0.4839,2,Mobile App,0,1.41
At-Risk,290,0,45.25,4639,0.6129,2,Web,0,5.71
Champions,8,20,204.29,6501,0.0015,1,Web,4277.47,4.88
Loyal Low-Spenders,22,15,29.1,8187,0.0915,4,Mobile App,446.68,5.56
Loyal Low-Spenders,22,20,36.21,10790,,5,Mobile App,820.58,3.89
At-Risk,278,1,49.24,5042,,2,Mobile App,55.91,3.89
Champions,8,20,193.33,8082,0.0172,2,Web,3644.65,1.71
Loyal Low-Spenders,18,14,24.88,6635,0.0062,2,Mobile App,350.8,2.58
Window Shoppers,94,0,0,35327,0.9827,27,Web,0,4.17
Loyal Low-Spenders,19,15,26.63,9130,0.0051,4,Mobile App,412.82,6.32
Window Shoppers,83,0,0,,0.9615,25,Web,0,3.79
Champions,6,22,209.63,8064,0.0049,3,Mobile App,5267.82,3.62
Potential High-Value,54,1,281.74,20615,0.2866,16,Mobile App,280.12,4.2
At-Risk,266,0,50.52,4204,0.5824,2,Web,0,4.41
Loyal Low-Spenders,28,20,31.36,12049,0.0184,7,Web,577.79,3.82
Potential High-Value,45,5,297.03,25280,0.3681,14,Web,1535.24,3.21
Loyal Low-Spenders,22,24,29.79,11808,0.0124,5,Mobile App,594.66,7.6
Potential High-Value,57,4,279.02,21144,0.3862,17,Mobile App,1116.63,4.84
Window Shoppers,60,2,6.89,39103,0.9663,28,Mobile App,14.69,7.42
At-Risk,261,2,43.31,3569,0.4482,1,Mobile App,97.88,3.71
Loyal Low-Spenders,21,21,27.09,9994,0.038,5,Mobile App,484.54,1.96
Window Shoppers,86,0,0,39189,0.9417,28,Web,0,4.91
Champions,8,26,199.72,7221,0.0001,1,Web,4834.93,3.99
Champions,11,28,202.22,8196,0.0099,3,Mobile App,5228.97,10
At-Risk,271,1,61.44,3631,0.5772,3,Web,50.97,3.75
Loyal Low-Spenders,23,21,29.09,8136,0.0063,3,Mobile App,668.19,6.68
Window Shoppers,88,0,0,38268,0.971,31,Web,0,7.76
Potential High-Value,69,1,224.59,23324,0.3312,12,Mobile App,223.14,3.75
Champions,11,15,224.52,,0.0057,3,Web,3128.99,3.88
At-Risk,236,1,48.56,4710,0.3928,2,Tablet,45.6,5.54
At-Risk,272,0,58.07,4311,0.5358,2,Mobile App,0,3.73
Loyal Low-Spenders,21,9,28.24,10582,0.0315,5,Web,243.06,7.24
Loyal Low-Spenders,25,19,30.03,6360,0.0557,5,Mobile App,495.83,0.92
Loyal Low-Spenders,18,16,31.7,10325,0.0052,9,Web,516.94,5.12
Champions,5,29,225.57,7864,0.0456,1,Mobile App,6046.43,3.77
Loyal Low-Spenders,20,17,28.45,8316,0.0151,4,Web,463.22,4.32
Window Shoppers,65,0,0,36364,0.9711,26,Web,0,3.28
Potential High-Value,60,1,282.09,24951,0.2575,7,Mobile App,245.98,4.64
Potential High-Value,64,3,309.34,21933,0.387,18,Web,898.93,2.78
Potential High-Value,53,1,283.1,22907,0.3497,13,Mobile App,271.93,4.76
Loyal Low-Spenders,24,15,27.94,9148,0.0098,1,Web,420.3,2.81
Loyal Low-Spenders,24,24,30.38,7085,0.0044,6,Web,735.18,5.27
At-Risk,288,0,54.58,4372,0.4997,3,Web,0,4.28
At-Risk,291,1,40.27,3327,0.4682,1,Web,41.95,4.82
At-Risk,269,0,44.04,2951,0.5381,0,Web,0,0.37
Loyal Low-Spenders,20,21,25.38,8065,0.0101,5,Tablet,560.43,7.02
Window Shoppers,70,1,6.81,35615,0.9549,29,Mobile App,5.8,6.76
Loyal Low-Spenders,23,13,34.96,6851,0.0107,4,Web,427.41,10
At-Risk,289,1,47.84,4626,0.6554,1,Web,45.64,3.76
Window Shoppers,81,0,0,35755,0.9288,21,Mobile App,0,4.97
At-Risk,267,0,57.66,4000,0.4968,1,Tablet,0,5.39
Window Shoppers,76,0,0,40269,0.9591,31,Web,0,3.97
Potential High-Value,71,4,336.62,22998,0.2003,10,Mobile App,1409.91,3.01
At-Risk,254,0,49.55,4303,0.4441,1,Mobile App,0,5.18
Loyal Low-Spenders,16,16,24.26,6775,0.0259,2,Web,412.25,3.74
At-Risk,265,1,28.49,4055,0.4404,6,Mobile App,25.51,5.88
At-Risk,282,0,53.95,5267,0.3753,2,Tablet,0,5.38
Champions,9,35,205.97,7561,0.0025,2,Tablet,7778.67,4.72
Champions,12,17,202.36,7839,0.0063,4,Web,2998.67,
At-Risk,251,1,45.38,3481,0.494,1,Mobile App,41.02,2.87
Potential High-Value,43,2,293.09,24070,0.3852,18,Mobile App,633.3,5.41
Window Shoppers,83,0,0,33949,,27,Web,0,9.11
Window Shoppers,84,0,0,36581,0.9743,24,Web,0,5.72
Window Shoppers,98,0,0,33991,0.8937,23,Mobile App,0,3.28
Potential High-Value,64,4,275.48,23174,0.5134,17,Web,1127.33,4.78
Loyal Low-Spenders,20,15,31.2,11779,0.0033,3,Mobile App,460.98,5.76
Champions,8,12,186.01,5956,0.0011,2,Web,2466.17,6.7
Window Shoppers,64,0,0,36457,0.925,21,Mobile App,0,
Window Shoppers,67,0,0,36323,0.9301,24,Web,0,7.52
Champions,11,29,205.67,6032,0.0042,1,Web,5801.82,4.06
At-Risk,275,0,66.68,,0.5367,1,Web,0,9.33
At-Risk,256,0,48.27,2963,0.6136,0,Web,0,5.58
At-Risk,294,1,39.07,4587,0.3913,1,Web,40.05,2.65
Champions,7,22,189.78,6930,0.0081,6,Mobile App,3950.17,9.76
Window Shoppers,99,0,0,32810,0.9692,27,Web,0,8.33
Champions,6,21,221.16,7387,0.0136,3,Web,4357.56,5.33
Loyal Low-Spenders,27,22,29.45,9278,0.0528,2,Mobile App,744.66,5.5
At-Risk,247,3,59.82,4186,0.5382,1,Mobile App,181.25,3.52
At-Risk,244,1,52.07,4589,0.4549,2,Tablet,49.7,5.45
Loyal Low-Spenders,28,20,32.2,9382,0.0428,3,Web,686.44,5.35
Window Shoppers,84,0,0,32222,0.9637,18,Web,0,6.2
Potential High-Value,61,3,291.49,24832,0.328,15,Mobile App,859.79,7.04
Loyal Low-Spenders,23,11,31.33,8638,0.0374,3,Web,379.05,2.18
Champions,6,20,212.63,6609,0.0053,1,Web,4316.64,3.71
At-Risk,252,1,44.65,,0.4614,2,Web,45.35,3.7
Potential High-Value,53,1,319.65,23861,0.3404,17,Web,278.81,4.62
Champions,6,28,242.94,6692,0.0027,5,Tablet,7258.06,1.93
Potential High-Value,62,1,268.08,18805,0.2438,22,Mobile App,250.52,2.59
At-Risk,286,0,61.98,3492,,2,Web,0,5.03
Champions,7,18,211.81,7013,0.0045,1,Mobile App,4260.95,5.55
Potential High-Value,56,2,293.73,23132,0.2636,25,Web,549.25,2.08
Loyal Low-Spenders,22,16,33.08,9634,0.0089,2,Web,422.99,
Loyal Low-Spenders,22,18,30.63,6668,0.0072,2,Web,565.82,
At-Risk,274,2,45.17,4938,0.4276,3,Web,100.11,4.12
Loyal Low-Spenders,15,13,31.99,12561,0.0101,3,Mobile App,436.18,6.62
Loyal Low-Spenders,21,8,30,7489,0.0323,3,Mobile App,254.91,8.15
Window Shoppers,120,0,0,,0.9882,27,Mobile App,0,7.55
Loyal Low-Spenders,21,11,32.02,7232,0.0225,1,Web,339.69,7.55
Potential High-Value,57,1,306.22,23351,0.4204,13,Web,306.71,5.11
Champions,3,26,207.91,6184,0.0164,3,Web,4755.7,4.45
Champions,8,29,200.79,6833,0.0104,2,Web,5053.66,5.64
Loyal Low-Spenders,19,17,25.39,10303,0.0492,5,Web,379.04,6.67
At-Risk,265,0,42.62,4893,0.4951,1,Web,0,4.51
Loyal Low-Spenders,16,18,28.37,6593,0.0506,2,Web,530.38,0.83
Champions,9,29,220.48,7602,0.0029,5,Mobile App,6967.29,3.99
Loyal Low-Spenders,18,21,35.02,6919,0.0267,7,Mobile App,684.74,4.96
Potential High-Value,67,2,258.06,24042,0.3819,14,Mobile App,456.63,4.38
Loyal Low-Spenders,24,11,32.45,7852,0.0028,7,Web,330.24,4.09
Champions,9,25,215.41,7799,0,1,Web,5584.33,4.11
Potential High-Value,55,1,307.55,19422,0.3081,17,Web,339.42,7.34
Loyal Low-Spenders,22,16,30.59,7613,0.0095,4,Tablet,530.05,5
Loyal Low-Spenders,18,21,31.24,10105,0.0007,3,Web,600.45,3.7
Loyal Low-Spenders,16,20,30.26,9353,0.0067,3,Web,550.05,5.81
Loyal Low-Spenders,23,18,30.93,8282,0.0681,3,Web,504.1,5.47
Loyal Low-Spenders,23,15,32.66,8263,0.0628,2,Web,473.24,0.24
Potential High-Value,74,2,297.86,26037,0.2774,25,Mobile App,615.88,5.77
At-Risk,254,2,47.25,5377,0.5225,3,Mobile App,81.68,1.51
Champions,10,33,200.1,6596,0.0022,2,Web,7162.09,7.32
Potential High-Value,66,2,328.79,21288,0.4042,14,Mobile App,716.22,2.82
At-Risk,260,1,40.4,5734,0.5561,1,Web,38.48,4.88
